,Model,Behavior,Mean,StdErr
0,MP,chasing,6.071200668811798,0.1776288680123268
1,MP,ss gathering,3.086670145392418,0.45437768722582556
2,MP,random,6.1316861765725275,0.199571011086084
3,MP,mimicry,7.4362704157829285,0.10601778561697883
4,MP,ms gatherinng,3.928938463330269,0.4328876316263697
5,MP,colab_gathereing,2.1452608704566956,0.10730716157991757
6,MP,adversarial_gathering,4.85944002866745,0.13749709555855885
7,RSSM,chasing,5.979567448298137,0.13305372539108465
8,RSSM,ss gathering,2.749033977588018,0.6287145256106506
9,RSSM,random,6.270548025767009,0.23617997935222515
10,RSSM,mimicry,7.322839021682739,0.08175485124377896
11,RSSM,ms gatherinng,4.068396826585134,0.5209776495570926
12,RSSM,colab_gathereing,1.5938916603724163,0.02905294122001925
13,RSSM,adversarial_gathering,4.483763058980306,0.17967357716160384
14,RSSM_Cont,chasing,10.066862424214682,0.1599879704308748
15,RSSM_Cont,ss gathering,8.911354780197144,0.11644568461009135
16,RSSM_Cont,random,9.862433478945778,0.13542628230055534
17,RSSM_Cont,mimicry,10.682717164357504,0.10424231571443938
18,RSSM_Cont,ms gatherinng,9.488129695256552,0.10761297063584453
19,RSSM_Cont,colab_gathereing,9.21107006072998,0.11365231526210415
20,RSSM_Cont,adversarial_gathering,9.242907524108887,0.13456068776940214
21,MD,chasing,5.814327120780945,0.07586201414997924
22,MD,ss gathering,3.0116297900676727,0.6218092285134497
23,MD,random,6.03101795060294,0.28820846013227863
24,MD,mimicry,7.333238124847412,0.15160166290451824
25,MD,ms gatherinng,3.8792552947998047,0.5866507629197167
26,MD,colab_gathereing,1.9276698529720306,0.05648576426762676
27,MD,adversarial_gathering,4.758375644683838,0.118311100375071
28,TF_Emb2048,chasing,12.832996686299643,0.17623778354693265
29,TF_Emb2048,ss gathering,11.45842695236206,0.14261574714202202
30,TF_Emb2048,random,11.90348361787342,0.17202557172674024
31,TF_Emb2048,mimicry,12.839695612589518,0.22647432008302398
32,TF_Emb2048,ms gatherinng,11.614796161651611,0.09749594311870596
33,TF_Emb2048,colab_gathereing,11.289324601491293,0.07547400140927461
34,TF_Emb2048,adversarial_gathering,11.342020829518637,0.1876210973730335
