,Time To Goal,MSE,Model,Trial
0,0.0,2.004737377166748,MP-S1,0
1,0.05,2.004737377166748,MP-S1,0
2,0.1,2.3205151557922363,MP-S1,0
3,0.15,2.51405930519104,MP-S1,0
4,0.2,2.51405930519104,MP-S1,0
5,0.25,2.6877453327178955,MP-S1,0
6,0.3,2.788165330886841,MP-S1,0
7,0.35,2.788165330886841,MP-S1,0
8,0.4,2.860788106918335,MP-S1,0
9,0.45,2.9223647117614746,MP-S1,0
10,0.5,2.996750831604004,MP-S1,0
11,0.55,3.126385450363159,MP-S1,0
12,0.6,2.888653516769409,MP-S1,0
13,0.65,1.285099744796753,MP-S1,0
14,0.7,0.7895918488502502,MP-S1,0
15,0.75,0.8024911880493164,MP-S1,0
16,0.8,0.6312487125396729,MP-S1,0
17,0.85,0.49722784757614136,MP-S1,0
18,0.9,0.38898134231567383,MP-S1,0
19,1.0,0.29647180438041687,MP-S1,0
20,0.0,1.944790005683899,MP-S1,1
21,0.05,1.944790005683899,MP-S1,1
22,0.1,2.2469449043273926,MP-S1,1
23,0.15,2.536278009414673,MP-S1,1
24,0.2,2.714695930480957,MP-S1,1
25,0.25,2.869276762008667,MP-S1,1
26,0.3,2.869276762008667,MP-S1,1
27,0.35,3.099508762359619,MP-S1,1
28,0.4,3.303135395050049,MP-S1,1
29,0.45,3.360335111618042,MP-S1,1
30,0.5,3.286715507507324,MP-S1,1
31,0.55,0.6747150421142578,MP-S1,1
32,0.6,0.4368080794811249,MP-S1,1
33,0.65,0.5521674752235413,MP-S1,1
34,0.7,0.7081413269042969,MP-S1,1
35,0.75,0.6746388673782349,MP-S1,1
36,0.8,0.6613813638687134,MP-S1,1
37,0.85,0.7424790263175964,MP-S1,1
38,0.9,1.0077111721038818,MP-S1,1
39,1.0,1.1492716073989868,MP-S1,1
40,0.0,0.8852415084838867,MP-S1,2
41,0.05,0.5042654871940613,MP-S1,2
42,0.1,0.5255718231201172,MP-S1,2
43,0.15,0.6519129276275635,MP-S1,2
44,0.2,0.4891361594200134,MP-S1,2
45,0.25,1.071903944015503,MP-S1,2
46,0.3,1.3571233749389648,MP-S1,2
47,0.35,1.3606866598129272,MP-S1,2
48,0.4,1.7779312133789062,MP-S1,2
49,0.45,0.7245022058486938,MP-S1,2
50,0.5,0.3810642957687378,MP-S1,2
51,0.55,0.2998787760734558,MP-S1,2
52,0.6,0.37175896763801575,MP-S1,2
