,Model,Behavior,Mean,StdErr
0,MP,chasing,4.249859511852264,0.08312772947373455
1,MP,ss gathering,2.9194717071950436,0.4521331317362233
2,MP,random,5.847543273653303,0.1668947207238446
3,MP,mimicry,6.843107342720032,0.06567010851863529
4,MP,ms gatherinng,3.9056378304958344,0.4148491309363394
5,MP,colab_gathereing,2.17661052942276,0.09101180084187174
6,MP,adversarial_gathering,4.496841847896576,0.1003902349464053
7,RSSM,chasing,3.8759284814198813,0.05286110895454831
8,RSSM,ss gathering,2.5552236388127008,0.5765553379655454
9,RSSM,random,5.721212228139241,0.1973005947628721
10,RSSM,mimicry,6.525393486022949,0.031892123427540116
11,RSSM,ms gatherinng,3.78804612159729,0.4841991099058802
12,RSSM,colab_gathereing,1.6038615902264912,0.012908902970952908
13,RSSM,adversarial_gathering,4.028485298156738,0.11481309930720691
14,RSSM_Cont,chasing,6.55275019009908,0.10685197418584708
15,RSSM_Cont,ss gathering,6.012746890385945,0.20561242862392162
16,RSSM_Cont,random,7.422545637403216,0.11802266073377866
17,RSSM_Cont,mimicry,8.078623135884603,0.04170715308458678
18,RSSM_Cont,ms gatherinng,6.72615110874176,0.18503710286904926
19,RSSM_Cont,colab_gathereing,6.170446236928304,0.06375583958406005
20,RSSM_Cont,adversarial_gathering,6.7038811047871905,0.056784915474674943
21,MD,chasing,4.178372025489807,0.05163904511104954
22,MD,ss gathering,2.854094348847866,0.6410994122808884
23,MD,random,5.782070228031704,0.23552504695588802
24,MD,mimicry,6.751930832862854,0.08334769348199843
25,MD,ms gatherinng,3.8425385653972626,0.5806407098846135
26,MD,colab_gathereing,1.9802964627742767,0.038521018555456886
27,MD,adversarial_gathering,4.365797162055969,0.1095265206638891
28,TF_Emb2048,chasing,11.076362768809,0.08038371240180467
29,TF_Emb2048,ss gathering,9.86097494761149,0.10850974888565638
30,TF_Emb2048,random,10.852917217072987,0.13595182063979677
31,TF_Emb2048,mimicry,11.676440556844076,0.09749309776152575
32,TF_Emb2048,ms gatherinng,10.245368957519531,0.12668814302587278
33,TF_Emb2048,colab_gathereing,9.831736246744791,0.0772331780429154
34,TF_Emb2048,adversarial_gathering,10.226526260375977,0.06344239177485711
