,Model,Behavior,Mean,StdErr
0,Multistep Predictor,Collaborative Gathering,1.7960614959398906,0.047905952376541196
1,Multistep Predictor,Adversarial Gathering,4.3992602825164795,0.10083125923760443
2,Multistep Predictor,Single-step Gathering,2.702567388614019,0.5392707133775175
3,Multistep Predictor,Random,5.760955311003185,0.19941090401789463
4,Multistep Predictor,Multi-step Gathering,3.8124525944391885,0.4891983120802794
5,Multistep Predictor,Chasing,4.270485242207845,0.058792346520579124
6,Multistep Predictor,Mimicry,6.758184909820557,0.06567901337177227
7,RSSM Discrete,Collaborative Gathering,1.4272921085357666,0.019912179865347403
8,RSSM Discrete,Adversarial Gathering,3.9700595140457153,0.103060517473264
9,RSSM Discrete,Single-step Gathering,2.5303740402062735,0.5973533753917449
10,RSSM Discrete,Random,5.871527898879278,0.2145464252985176
11,RSSM Discrete,Multi-step Gathering,3.8057726124922433,0.5144667664443024
12,RSSM Discrete,Chasing,3.662522276242574,0.03381374319733748
13,RSSM Discrete,Mimicry,6.778766393661499,0.041442090503472945
14,RSSM Continuous,Collaborative Gathering,2.8613091309865317,0.3265133134300049
15,RSSM Continuous,Adversarial Gathering,5.324713627497355,0.27999735944256887
16,RSSM Continuous,Single-step Gathering,3.8594571948051453,0.6606861091876622
17,RSSM Continuous,Random,6.866867247081938,0.16142659884939323
18,RSSM Continuous,Multi-step Gathering,4.899379034837087,0.5508238997477943
19,RSSM Continuous,Chasing,4.860674540201823,0.29189044791692903
20,RSSM Continuous,Mimicry,7.544168313344319,0.1476015678870914
21,Multistep Delta,Collaborative Gathering,1.970241089661916,0.041668934918065406
22,Multistep Delta,Adversarial Gathering,4.361067295074463,0.10601398401404184
23,Multistep Delta,Single-step Gathering,2.82507893939813,0.5340579038431916
24,Multistep Delta,Random,5.810893830798921,0.1932185778909081
25,Multistep Delta,Multi-step Gathering,3.866628775993983,0.4824191979902474
26,Multistep Delta,Chasing,4.192227919896443,0.04105226586366415
27,Multistep Delta,Mimicry,6.771227439244588,0.05608079930806935
28,Transformer,Collaborative Gathering,9.776832898457846,0.14923880716324753
29,Transformer,Adversarial Gathering,10.520105044047037,0.16862988204433546
30,Transformer,Single-step Gathering,10.103423515955607,0.14857562771575417
31,Transformer,Random,10.962748800005231,0.09520773108052401
32,Transformer,Multi-step Gathering,10.465154886245728,0.14413577165683084
33,Transformer,Chasing,10.44571844736735,0.1491471110758028
34,Transformer,Mimicry,11.440339724222818,0.07150541800513915
35,SGNet,Collaborative Gathering,3.3499770164489746,0.2023793884804586
36,SGNet,Adversarial Gathering,4.916249990463257,0.20882229291862195
37,SGNet,Single-step Gathering,4.16023325920105,0.551384176402103
38,SGNet,Random,6.095865998949323,0.2636531654881848
39,SGNet,Multi-step Gathering,4.495621502399445,0.6446429218861038
40,SGNet,Chasing,4.0056984424591064,0.14496880590025324
41,SGNet,Mimicry,6.89419960975647,0.019151359375956203
49,Hierarchical Oracle Model,Collaborative Gathering,1.3605273763338726,0.024505343103494347
50,Hierarchical Oracle Model,Adversarial Gathering,4.228754997253418,0.07229919875830505
51,Hierarchical Oracle Model,Single-step Gathering,2.636187752087911,0.5253913950958922
52,Hierarchical Oracle Model,Random,5.497664928436279,0.20800402834837353
53,Hierarchical Oracle Model,Multi-step Gathering,3.169233908255895,0.5091084630795693
54,Hierarchical Oracle Model,Chasing,3.6976038614908853,0.07980529950810701
55,Hierarchical Oracle Model,Mimicry,6.5291694800059,0.06793310075698986
