,Model,Behavior,Mean,Std
2,Multistep Predictor,Single-step Gathering,4.208237449328105,0.38447196970326913
9,RSSM Discrete,Single-step Gathering,3.8090310792128244,0.537981147207848
16,RSSM Continuous,Single-step Gathering,5.40500150124232,0.43449594154953103
23,Multistep Delta,Single-step Gathering,4.0663880705833435,0.41214953892798917
30,Transformer,Single-step Gathering,10.812722126642862,0.08301065060730052
37,SGNet,Single-step Gathering,5.110937237739563,0.4684094218711305
51,Hierarchical Oracle Model,Single-step Gathering,2.7659396479527154,0.5116769944136208
4,Multistep Predictor,Multi-step Gathering,5.049753844738007,0.42024829400358976
11,RSSM Discrete,Multi-step Gathering,5.2464097539583845,0.4725350439858422
18,RSSM Continuous,Multi-step Gathering,6.490810751914978,0.4328925457536761
25,Multistep Delta,Multi-step Gathering,5.109342674414317,0.39556358304310413
32,Transformer,Multi-step Gathering,11.40719469388326,0.09265834453335119
39,SGNet,Multi-step Gathering,5.825926661491394,0.5621976071560212
53,Hierarchical Oracle Model,Multi-step Gathering,3.190319150686264,0.5050397548502249
0,Multistep Predictor,Collaborative Gathering,4.294797897338867,0.022322909787355818
7,RSSM Discrete,Collaborative Gathering,4.394210656483968,0.04018670452279964
14,RSSM Continuous,Collaborative Gathering,5.820928414662679,0.22458911160995218
21,Multistep Delta,Collaborative Gathering,4.325814088185628,0.034605598586106734
28,Transformer,Collaborative Gathering,11.156512101491293,0.121144826792329
35,SGNet,Collaborative Gathering,5.375335216522217,0.1270548779965769
49,Hierarchical Oracle Model,Collaborative Gathering,1.674961010615031,0.037118388999878814
1,Multistep Predictor,Adversarial Gathering,5.269832611083984,0.06412786793911338
8,RSSM Discrete,Adversarial Gathering,4.8721714814503985,0.07272305502682014
15,RSSM Continuous,Adversarial Gathering,6.2671388785044355,0.20466638756498395
22,Multistep Delta,Adversarial Gathering,5.04544456799825,0.06881662876689926
29,Transformer,Adversarial Gathering,10.786885102589926,0.086435403497403
36,SGNet,Adversarial Gathering,6.1119489669799805,0.07887732122595605
50,Hierarchical Oracle Model,Adversarial Gathering,4.1855012973149615,0.05817067097413512
3,Multistep Predictor,Random,6.458656424567813,0.14087189878591125
10,RSSM Discrete,Random,6.859436148688907,0.18065410418267597
17,RSSM Continuous,Random,7.6498747780209495,0.13240344811729576
24,Multistep Delta,Random,6.406106313069661,0.13694730139460892
31,Transformer,Random,11.333951178051176,0.07282390507958693
38,SGNet,Random,6.850097792489188,0.20229181330468735
52,Hierarchical Oracle Model,Random,5.520150275457473,0.20120317677199473
6,Multistep Predictor,Mimicry,7.178633689880371,0.04674440162632907
13,RSSM Discrete,Mimicry,7.628011067708333,0.04650293295786256
20,RSSM Continuous,Mimicry,8.057268460591635,0.12539855991336168
27,Multistep Delta,Mimicry,7.060699383417766,0.036207323832567244
34,Transformer,Mimicry,11.496071179707846,0.08924410577957465
41,SGNet,Mimicry,7.378711938858032,0.012964539189345047
55,Hierarchical Oracle Model,Mimicry,6.558867613474528,0.058565514456867196
5,Multistep Predictor,Chasing,5.341678698857625,0.05627537480606264
12,RSSM Discrete,Chasing,5.052855173746745,0.03615819561034775
19,RSSM Continuous,Chasing,6.294371684392293,0.2204077283851521
26,Multistep Delta,Chasing,5.353080113728841,0.030823961236622205
33,Transformer,Chasing,10.722264448801676,0.09390621174011388
40,SGNet,Chasing,5.461672782897949,0.1651920439275385
54,Hierarchical Oracle Model,Chasing,3.9650516907374063,0.06939650172045302
