,Model,Behavior,Mean,StdErr
0,Multistep Predictor,Chasing,4.249859511852264,0.08312772947373455
1,Multistep Predictor,Single-step Gathering,2.9194717071950436,0.4521331317362233
2,Multistep Predictor,Random,5.847543273653303,0.1668947207238446
3,Multistep Predictor,Mimicry,6.843107342720032,0.06567010851863529
4,Multistep Predictor,Multi-step Gathering,3.9056378304958344,0.4148491309363394
5,Multistep Predictor,Collaborative Gathering,2.17661052942276,0.09101180084187174
6,Multistep Predictor,Adversarial Gathering,4.496841847896576,0.1003902349464053
7,RSSM Discrete,Chasing,3.8759284814198813,0.05286110895454831
8,RSSM Discrete,Single-step Gathering,2.5552236388127008,0.5765553379655454
9,RSSM Discrete,Random,5.721212228139241,0.1973005947628721
10,RSSM Discrete,Mimicry,6.525393486022949,0.031892123427540116
11,RSSM Discrete,Multi-step Gathering,3.78804612159729,0.4841991099058802
12,RSSM Discrete,Collaborative Gathering,1.6038615902264912,0.012908902970952908
13,RSSM Discrete,Adversarial Gathering,4.028485298156738,0.11481309930720691
14,RSSM Continuous,Chasing,6.55275019009908,0.10685197418584708
15,RSSM Continuous,Single-step Gathering,6.012746890385945,0.20561242862392162
16,RSSM Continuous,Random,7.422545637403216,0.11802266073377866
17,RSSM Continuous,Mimicry,8.078623135884603,0.04170715308458678
18,RSSM Continuous,Multi-step Gathering,6.72615110874176,0.18503710286904926
19,RSSM Continuous,Collaborative Gathering,6.170446236928304,0.06375583958406005
20,RSSM Continuous,Adversarial Gathering,6.7038811047871905,0.056784915474674943
21,Multistep Delta,Chasing,4.178372025489807,0.05163904511104954
22,Multistep Delta,Single-step Gathering,2.854094348847866,0.6410994122808884
23,Multistep Delta,Random,5.782070228031704,0.23552504695588802
24,Multistep Delta,Mimicry,6.751930832862854,0.08334769348199843
25,Multistep Delta,Multi-step Gathering,3.8425385653972626,0.5806407098846135
26,Multistep Delta,Collaborative Gathering,1.9802964627742767,0.038521018555456886
27,Multistep Delta,Adversarial Gathering,4.365797162055969,0.1095265206638891
28,Transformer,Chasing,11.076362768809,0.08038371240180467
29,Transformer,Single-step Gathering,9.86097494761149,0.10850974888565638
30,Transformer,Random,10.852917217072987,0.13595182063979677
31,Transformer,Mimicry,11.676440556844076,0.09749309776152575
32,Transformer,Multi-step Gathering,10.245368957519531,0.12668814302587278
33,Transformer,Collaborative Gathering,9.831736246744791,0.0772331780429154
34,Transformer,Adversarial Gathering,10.226526260375977,0.06344239177485711
42,Hierarchical Oracle Model,Chasing,3.6976038614908853,0.07980529950810701
43,Hierarchical Oracle Model,Single-step Gathering,2.636187752087911,0.5253913950958922
44,Hierarchical Oracle Model,Random,5.497664928436279,0.20800402834837353
45,Hierarchical Oracle Model,Mimicry,6.5291694800059,0.06793310075698986
46,Hierarchical Oracle Model,Multi-step Gathering,3.169233908255895,0.5091084630795693
47,Hierarchical Oracle Model,Collaborative Gathering,1.3605273763338726,0.024505343103494347
48,Hierarchical Oracle Model,Adversarial Gathering,4.228754997253418,0.07229919875830505
