,model,g2_acc,g2_goal_num,g2_mse,g3_acc,g3_goal_num,g3_mse,epoch,dataset,ADE,FDE
0,MP-S1,0.5991649269311065,2nd Goal,2.357802629470825,0.3569937369519833,3rd Goal,2.357802629470825,/ccn2/u/ziyxiang/swm_data_and_results/submission_ckpt/models/mp_mlp_2048_lr3e-4_s1/mp_mlp_2048_lr3e-4_s1_epoch5600,data_5_31_23.pkl,,
1,MP-S2,0.5803757828810021,2nd Goal,2.3548529148101807,0.302713987473904,3rd Goal,2.3548529148101807,/ccn2/u/ziyxiang/swm_data_and_results/submission_ckpt/models/mp_mlp_2048_lr3e-4_s2/mp_mlp_2048_lr3e-4_s2_epoch5400,data_5_31_23.pkl,,
2,MP-S3,0.6430062630480167,2nd Goal,2.251333713531494,0.37160751565762,3rd Goal,2.251333713531494,/ccn2/u/ziyxiang/swm_data_and_results/submission_ckpt/models/mp_mlp_2048_lr3e-4_s3/mp_mlp_2048_lr3e-4_s3_epoch5400,data_5_31_23.pkl,,
3,RSSM-S1,0.1315240083507307,2nd Goal,3.3604252338409424,0.0250521920668058,3rd Goal,3.3604252338409424,/ccn2/u/ziyxiang/swm_data_and_results/submission_ckpt/models/rssm_disc_h_2048_lr3e-4_s1/rssm_disc_h_2048_lr3e-4_s1_epoch3400,data_5_31_23.pkl,,
4,RSSM-S2,0.0876826722338204,2nd Goal,3.38618803024292,0.0271398747390396,3rd Goal,3.38618803024292,/ccn2/u/ziyxiang/swm_data_and_results/submission_ckpt/models/rssm_disc_h_2048_lr3e-4_s2/rssm_disc_h_2048_lr3e-4_s2_epoch3400,data_5_31_23.pkl,,
5,RSSM-S3,0.1252609603340292,2nd Goal,3.399919033050537,0.0125260960334029,3rd Goal,3.399919033050537,/ccn2/u/ziyxiang/swm_data_and_results/submission_ckpt/models/rssm_disc_h_2048_lr3e-4_s3/rssm_disc_h_2048_lr3e-4_s3_epoch3400,data_5_31_23.pkl,,
6,RSSM-Cont-S1,0.0751565762004175,2nd Goal,3.57698392868042,0.0647181628392484,3rd Goal,3.57698392868042,/ccn2/u/ziyxiang/swm_data_and_results/submission_ckpt/models/rssm_cont_h_2048_lr1e-4_s1/rssm_cont_h_2048_lr1e-4_s1_epoch600,data_5_31_23.pkl,,
7,RSSM-Cont-S2,0.0772442588726513,2nd Goal,3.492999315261841,0.1002087682672233,3rd Goal,3.492999315261841,/ccn2/u/ziyxiang/swm_data_and_results/submission_ckpt/models/rssm_cont_h_2048_lr1e-4_s2/rssm_cont_h_2048_lr1e-4_s2_epoch600,data_5_31_23.pkl,,
8,RSSM-Cont-S3,0.0292275574112734,2nd Goal,3.6950395107269287,0.0250521920668058,3rd Goal,3.6950395107269287,/ccn2/u/ziyxiang/swm_data_and_results/submission_ckpt/models/rssm_cont_h_2048_lr1e-4_s3/rssm_cont_h_2048_lr1e-4_s3_epoch600,data_5_31_23.pkl,,
9,MD-S1,0.290187891440501,2nd Goal,2.79331636428833,0.1544885177453027,3rd Goal,2.79331636428833,/ccn2/u/ziyxiang/swm_data_and_results/submission_ckpt/models/md_mlp_2048_lr3e-4_s1/md_mlp_2048_lr3e-4_s1_epoch8800,data_5_31_23.pkl,,
