,Model,Behavior,Mean,Std
2,Multistep Predictor,Single-step Gathering,4.615939140319824,0.40077115345891756
9,RSSM Discrete,Single-step Gathering,4.13148291905721,0.5830307959494841
16,RSSM Continuous,Single-step Gathering,7.069390018781026,0.5455584888554941
23,Multistep Delta,Single-step Gathering,4.5150837898254395,0.41900013204918324
30,Transformer,Single-step Gathering,12.692609230677286,0.08775744600584309
37,SGNet,Single-step Gathering,5.33473265171051,0.3868078747574644
51,Hierarchical Oracle Model,Single-step Gathering,2.491213490565618,0.4075591879769977
4,Multistep Predictor,Multi-step Gathering,5.5988423228263855,0.4366627852678715
11,RSSM Discrete,Multi-step Gathering,5.798467417558034,0.4838447902114019
18,RSSM Continuous,Multi-step Gathering,7.987195213635762,0.563459620012433
25,Multistep Delta,Multi-step Gathering,5.677090883255005,0.40007805709299105
32,Transformer,Multi-step Gathering,13.448158582051596,0.1412601835262806
39,SGNet,Multi-step Gathering,6.151433706283569,0.509692034922543
53,Hierarchical Oracle Model,Multi-step Gathering,2.3846935083468757,0.40561260696632867
0,Multistep Predictor,Collaborative Gathering,4.664009253184001,0.026856548598853346
7,RSSM Discrete,Collaborative Gathering,4.884810368220012,0.06674022889711734
14,RSSM Continuous,Collaborative Gathering,7.216891686121623,0.5242079208810214
21,Multistep Delta,Collaborative Gathering,4.718354304631551,0.04747238068630942
28,Transformer,Collaborative Gathering,13.268682479858398,0.25436111767524744
35,SGNet,Collaborative Gathering,5.602581739425659,0.13096256520311292
49,Hierarchical Oracle Model,Collaborative Gathering,1.4339555104573567,0.049362084665471775
1,Multistep Predictor,Adversarial Gathering,5.716848691304524,0.05395322314187103
8,RSSM Discrete,Adversarial Gathering,5.151854435602824,0.04484198746202587
15,RSSM Continuous,Adversarial Gathering,7.837053060531616,0.4439231525227489
22,Multistep Delta,Adversarial Gathering,5.496699174245198,0.058356344416878626
29,Transformer,Adversarial Gathering,12.444867451985678,0.15662615141461153
36,SGNet,Adversarial Gathering,6.383320569992065,0.03997291406470212
50,Hierarchical Oracle Model,Adversarial Gathering,3.505879600842794,0.07465330132952519
3,Multistep Predictor,Random,7.122564202263241,0.1834533393890182
10,RSSM Discrete,Random,7.555492991492862,0.22248970832540066
17,RSSM Continuous,Random,9.365199179876418,0.24333486754329495
24,Multistep Delta,Random,7.053928125472296,0.1720567095670444
31,Transformer,Random,13.057724407741002,0.10579872743531867
38,SGNet,Random,6.993209975106375,0.223189543557728
52,Hierarchical Oracle Model,Random,4.693307354336693,0.2230951604272354
6,Multistep Predictor,Mimicry,8.127470016479492,0.11918545131337198
13,RSSM Discrete,Mimicry,8.663837432861328,0.07362027873375905
20,RSSM Continuous,Mimicry,9.966666221618652,0.3925083122587505
27,Multistep Delta,Mimicry,7.972610791524251,0.07561866851311604
34,Transformer,Mimicry,13.242057959238688,0.15182371551919935
41,SGNet,Mimicry,7.586327314376831,0.0900834938954266
55,Hierarchical Oracle Model,Mimicry,5.962365786234538,0.15202239351613847
5,Multistep Predictor,Chasing,7.2318644523620605,0.11363920979752841
12,RSSM Discrete,Chasing,7.508620580037435,0.09143543526794469
19,RSSM Continuous,Chasing,9.067118008931478,0.49788331958692694
26,Multistep Delta,Chasing,7.2728095054626465,0.05878961416241097
33,Transformer,Chasing,12.856024583180746,0.17094989465793195
40,SGNet,Chasing,6.618809461593628,0.19374316204578831
54,Hierarchical Oracle Model,Chasing,4.070597290992737,0.11147306868544055
