,Model,Behavior,Mean,StdErr
0,Multistep Predictor,Chasing,6.071200668811798,0.1776288680123268
1,Multistep Predictor,Single-step Gathering,3.086670145392418,0.45437768722582556
2,Multistep Predictor,Random,6.1316861765725275,0.199571011086084
3,Multistep Predictor,Mimicry,7.4362704157829285,0.10601778561697883
4,Multistep Predictor,Multi-step Gathering,3.928938463330269,0.4328876316263697
5,Multistep Predictor,Collaborative Gathering,2.1452608704566956,0.10730716157991757
6,Multistep Predictor,Adversarial Gathering,4.85944002866745,0.13749709555855885
7,RSSM Discrete,Chasing,5.979567448298137,0.13305372539108465
8,RSSM Discrete,Single-step Gathering,2.749033977588018,0.6287145256106506
9,RSSM Discrete,Random,6.270548025767009,0.23617997935222515
10,RSSM Discrete,Mimicry,7.322839021682739,0.08175485124377896
11,RSSM Discrete,Multi-step Gathering,4.068396826585134,0.5209776495570926
12,RSSM Discrete,Collaborative Gathering,1.5938916603724163,0.02905294122001925
13,RSSM Discrete,Adversarial Gathering,4.483763058980306,0.17967357716160384
14,RSSM Continuous,Chasing,10.066862424214682,0.1599879704308748
15,RSSM Continuous,Single-step Gathering,8.911354780197144,0.11644568461009135
16,RSSM Continuous,Random,9.862433478945778,0.13542628230055534
17,RSSM Continuous,Mimicry,10.682717164357504,0.10424231571443938
18,RSSM Continuous,Multi-step Gathering,9.488129695256552,0.10761297063584453
19,RSSM Continuous,Collaborative Gathering,9.21107006072998,0.11365231526210415
20,RSSM Continuous,Adversarial Gathering,9.242907524108887,0.13456068776940214
21,Multistep Delta,Chasing,5.814327120780945,0.07586201414997924
22,Multistep Delta,Single-step Gathering,3.0116297900676727,0.6218092285134497
23,Multistep Delta,Random,6.03101795060294,0.28820846013227863
24,Multistep Delta,Mimicry,7.333238124847412,0.15160166290451824
25,Multistep Delta,Multi-step Gathering,3.8792552947998047,0.5866507629197167
26,Multistep Delta,Collaborative Gathering,1.9276698529720306,0.05648576426762676
27,Multistep Delta,Adversarial Gathering,4.758375644683838,0.118311100375071
28,Transformer,Chasing,12.832996686299643,0.17623778354693265
29,Transformer,Single-step Gathering,11.45842695236206,0.14261574714202202
30,Transformer,Random,11.90348361787342,0.17202557172674024
31,Transformer,Mimicry,12.839695612589518,0.22647432008302398
32,Transformer,Multi-step Gathering,11.614796161651611,0.09749594311870596
33,Transformer,Collaborative Gathering,11.289324601491293,0.07547400140927461
34,Transformer,Adversarial Gathering,11.342020829518637,0.1876210973730335
42,Hierarchical Oracle Model,Chasing,3.690662225087484,0.1596313160695759
43,Hierarchical Oracle Model,Single-step Gathering,2.2660729636748633,0.3956094824554083
44,Hierarchical Oracle Model,Random,4.4643954663049605,0.23146823078765888
45,Hierarchical Oracle Model,Mimicry,5.760518868764241,0.1582751570341123
46,Hierarchical Oracle Model,Multi-step Gathering,2.1585738261540732,0.3950113461589151
47,Hierarchical Oracle Model,Collaborative Gathering,1.0584892332553864,0.04209274738703401
48,Hierarchical Oracle Model,Adversarial Gathering,3.3220697244008384,0.07665399505681951
