,model,score,MSE
0,MP-S1,0.897708674304419,1.356507420539856
1,MP-S2,0.9238952536824877,1.3733700513839722
2,MP-S3,0.9271685761047463,1.3323549032211304
3,RSSM-S1,0.9541734860883797,1.4082880020141602
4,RSSM-S2,0.9639934533551555,1.3413752317428589
5,RSSM-S3,0.9631751227495908,1.3813728094100952
6,RSSM-Cont-S1,0.8076923076923077,
7,RSSM-Cont-S2,0.7757774140752864,
8,RSSM-Cont-S3,0.7258592471358429,1.9380019903182983
9,MP-S1,0.8183306055646481,1.1201339960098267
10,MD-S2,0.8289689034369886,1.1723518371582031
11,MD-S3,0.82569558101473,1.1364325284957886
12,TF Emb2048 S1,0.9590834697217676,4.096251487731934
13,TF Emb2048 S2,0.9754500818330606,3.910698652267456
14,TF Emb2048 S3,0.9623567921440261,4.362138271331787
