,model,score,ADE,FDE,epoch,dataset
0,RSSM DS1000,0.32786885245901637,9.441404342651367,10.138291358947754,/mnt/fs2/locross/analysis/models/rssm_ds1000/rssm_ds1000_epoch29999,swm_data.pkl
1,RSSM DS5000,0.22131147540983606,8.62962532043457,9.305469512939453,/mnt/fs2/locross/analysis/models/rssm_ds5000/rssm_ds5000_epoch10000,swm_data.pkl
2,RSSM DS10000,0.20491803278688525,8.577052116394043,8.894113540649414,/mnt/fs2/locross/analysis/models/rssm_ds10000/rssm_ds10000_epoch7600,swm_data.pkl
3,RSSM DS20000,0.22950819672131148,8.438337326049805,8.754487037658691,/mnt/fs2/locross/analysis/models/rssm_ds20000/rssm_ds20000_epoch3200,swm_data.pkl
4,RSSM DS30000,0.22131147540983606,8.581681251525879,8.932572364807129,/mnt/fs2/locross/analysis/models/rssm_ds30000/rssm_ds30000_epoch2800,swm_data.pkl
5,RSSM-S1,0.29508196721311475,8.239629745483398,8.514735221862793,/mnt/fs2/locross/analysis/models/rssm_disc_h_2048_lr3e-4_s1/rssm_disc_h_2048_lr3e-4_s1_epoch24200,swm_data.pkl
6,RSSM DS1e5,0.2786885245901639,8.389055252075195,8.805302619934082,/mnt/fs2/locross/analysis/models/rssm_ds1e5/rssm_ds1e5_epoch4400,swm_data.pkl
7,MP DS1000,0.13934426229508196,9.7229585647583,10.198486328125,/mnt/fs2/locross/analysis/models/mp_ds1000/mp_ds1000_epoch29999,swm_data.pkl
8,MP DS5000,0.2540983606557377,9.042169570922852,9.383142471313477,/mnt/fs2/locross/analysis/models/mp_ds5000/mp_ds5000_epoch11600,swm_data.pkl
9,MP DS10000,0.10655737704918032,8.467143058776855,8.792524337768555,/mnt/fs2/locross/analysis/models/mp_ds10000/mp_ds10000_epoch6000,swm_data.pkl
10,MP DS20000,0.32786885245901637,8.492963790893555,9.024542808532715,10000,swm_data.pkl
11,MP DS30000,0.3524590163934426,8.304281234741211,8.818930625915527,/mnt/fs2/locross/analysis/models/mp_ds30000/mp_ds30000_epoch9000,swm_data.pkl
12,MP-S1,0.26229508196721313,8.321846961975098,8.738607406616211,/mnt/fs2/locross/analysis/models/mp_mlp_2048_lr3e-4_s1/mp_mlp_2048_lr3e-4_s1_epoch29999,swm_data.pkl
13,MP DS1e5,0.2540983606557377,7.697192668914795,8.137483596801758,/mnt/fs2/locross/analysis/models/mp_ds1e5/mp_ds1e5_epoch3000,swm_data.pkl
14,Deter. Event Model DS 5000,0.23770491803278687,9.185038566589355,9.399413108825684,/mnt/fs2/locross/analysis/models/em_deter_5000/mp_model_epoch11800,swm_data.pkl
15,Deter. Event Model DS 30000,0.4426229508196721,7.9664626121521,8.234413146972656,/mnt/fs2/locross/analysis/models/em_deter_30000/mp_model_epoch2000,swm_data.pkl
16,Event Model No Horizon,0.3770491803278688,8.862699508666992,9.013335227966309,/mnt/fs2/locross/analysis/models/emodel_no_horizon/mp_model_epoch18200,swm_data.pkl
17,Stoch. Event Model DS 5000,0.20491803278688525,9.008923530578613,9.508814811706543,/mnt/fs2/locross/analysis/models/em_stoch_5000/mp_model_epoch10800,swm_data.pkl
18,Stoch. Event Model DS 30000,0.38524590163934425,7.869183540344238,8.165853500366211,/mnt/fs2/locross/analysis/models/em_stoch_30000/mp_model_epoch2200,swm_data.pkl
19,Event Model Stochastic,0.23770491803278687,8.291719436645508,8.67891788482666,/mnt/fs2/locross/analysis/models/em_stoch_beta100/mp_model_epoch20600,swm_data.pkl
